Date,pol_gol,pol_dell,pol_slvr,pol_slcn,pol_copper,pol_apple,Close_clopper,Close_gold,Close_Pall,Close_plat,applied_materials,taiwan_semiconductor,dell,hp,lenovo,arrow_electronics,avnet,synnex_corp,advanced_micro_divices,nvidia,qualcomn
5/12/19,,,,,,,,,,,39.09,40.990002,64.040001,18.27,0.81,68.099998,43.240002,97.959999,26.24,158.449997,83.889999
5/13/19,0.100621142,0.021029567,0.067508418,0.186527778,0,-0.026797945,2.719,1301.8,1316.8,854.9,39.09,40.990002,64.040001,18.27,0.81,68.099998,43.240002,97.959999,26.24,158.449997,83.889999
5/14/19,0.10068163,0.087845175,0.110041152,0.232826652,0.063191697,-0.05,2.725,1296.3,1333,859.1,40.009998,41.970001,66.150002,18.299999,0.78,68.480003,43.630001,99.760002,27.32,162.039993,86.129997
5/15/19,0,0,0,0,0,0,2.743,1297.8,1332.9,847.7,41.5,41.970001,67.900002,18.73,0.8,68.860001,44.009998,99.889999,27.58,159.580002,86.260002
5/16/19,0.154615412,0.017699663,0,0,-0.15,0,2.748,1286.2,1324.7,833.6,41.66,41.529999,69.800003,18.940001,0.83,68.779999,44.490002,100.120003,28.01,160.190002,82.809998
5/17/19,0.104056696,0.164814815,0,0.0875,0.078263251,0,2.7385,1275.7,1305.8,820.3,42.700001,40.25,69.43,19.02,0.79,66.449997,43.389999,97.339996,27.5,156.529999,81.5
5/18/19,,,,,,,,,,,42.700001,40.25,69.43,19.02,0.79,66.449997,43.389999,97.339996,27.5,156.529999,81.5
5/19/18,,,,,,,,,,,40.349998,38.66,68,18.959999,0.79,66.730003,43.080002,95.470001,26.68,151.75,76.620003
5/20/19,0.03550738,0.126547872,0,0,0,-0.006224122,2.726,1277.3,1331,814.2,40.349998,38.66,68,18.959999,0.79,66.730003,43.080002,95.470001,26.68,151.75,76.620003
5/21/19,0.057269864,0.115187027,0,0,-0.023843717,-0.018336078,2.715,1273.2,1312.5,815.4,41.27,39.299999,69.650002,19.440001,0.78,68.160004,43.93,97.019997,27.35,155.059998,77.75
5/22/19,0.097638889,0.071087191,0,0,0,-0.003923397,2.678,1274.2,1313.5,805.3,40.490002,38.900002,69,19.200001,0.78,66.410004,43.009998,96.730003,27.41,152.199997,69.309998
5/23/19,0.089228482,0.030609101,0.200516529,0.183482254,0,0.03551903,2.6805,1291,1305.5,799.5,39.939999,38.07,65.699997,19.190001,0.73,64.959999,42.32,93.239998,26.360001,147.320007,68.260002
5/24/19,0.090703649,0.082332193,0,0,0,0.038324242,2.6995,1289.2,1324,802.9,39.5,38.200001,66.120003,20.030001,0.73,65.260002,42.419998,94.449997,26.440001,145.149994,66.209999
5/25/19,,,,,,,,,,,39.5,38.200001,66.120003,20.030001,0.73,65.260002,42.419998,94.449997,26.440001,145.149994,66.209999
5/26/19,,,,,,,,,,,39.009998,37.650002,66.410004,19.66,0.73,65.389999,42.110001,92.169998,29.049999,143.330002,65.370003
5/27/19,,,,,,,,,,,39.009998,37.650002,66.410004,19.66,0.73,65.389999,42.110001,92.169998,29.049999,143.330002,65.370003
5/28/19,0.06683659,0.130410013,0.267613636,0,0.034383307,0.057881653,2.696,1282.5,1336.7,797.1,39.009998,37.650002,66.410004,19.66,0.73,65.389999,42.110001,92.169998,29.049999,143.330002,65.370003
5/29/19,0.082744597,0.020170455,0,0.128242182,0.048061138,0.045589084,2.664,1286.3,1343.9,791.7,39.369999,37.689999,66.199997,19,0.72,64.589996,41.959999,92.449997,28.09,140.339996,65.760002
5/30/19,0.035601977,0.104246542,0.123800991,0.169253479,0.062896825,-0.079513889,2.6605,1287.1,1369.8,792.5,39.75,38.040001,66.410004,19.139999,0.71,64.559998,41.93,92.389999,28.030001,139.110001,66.589996
5/31/19,0,0,0,0,0,0,2.64,1311.1,1331.5,794.2,38.689999,38.349998,59.549999,18.68,0.71,62.66,40.84,86.709999,27.41,135.460007,66.82
6/1/19,,,,,,,,,,,38.689999,38.349998,59.549999,18.68,0.71,62.66,40.84,86.709999,27.41,135.460007,66.82
6/2/19,,,,,,,,,,,38.689999,38.349998,59.549999,18.68,0.71,62.66,40.84,86.709999,27.41,135.460007,66.82
6/3/19,0.125666673,0.051527106,0.125666673,0.093657523,0.05577664,0.061829049,2.65,1327.9,1315,820.9,38.779999,38.82,55.860001,18.66,0.71,63.560001,41.18,87.629997,27.58,133.779999,66.660004
6/4/19,0.096779868,0.059301769,0,0.196490046,0.05153911,0.17153635,2.6735,1323.4,1337.1,817.4,40.419998,39.060001,57.68,19.389999,0.68,66.339996,42.619999,90.870003,29.57,143,68.449997
6/5/19,0.057997535,0.056041095,0,0,0.078935658,0.097837753,2.623,1333.6,1327.3,802.8,40.59,38.23,54.5,19.559999,0.71,65.800003,42.52,88.870003,29.5,141.279999,67.019997
6/6/19,0.076680572,0.056727363,0,0.173487015,0.09858608,0.122357714,2.6505,1342.7,1349.1,803.7,41.380001,38.439999,53.23,19.66,0.71,65.769997,42.860001,89.449997,31.82,143.779999,67.589996
6/7/19,0.062886598,0.024483165,0,0.077775323,0.072363124,0.055597763,2.6275,1346.1,1356,806.1,41.509998,38.82,54.299999,19.709999,0.72,66.580002,43.610001,89.190002,32.41,145.5,68.690002
06/08/019,,,,,,,,,,,41.509998,38.82,54.299999,19.709999,0.72,66.580002,43.610001,89.190002,32.41,145.5,68.690002
6/9/19,,,,,,,,,,,43.139999,39.619999,54.200001,19.879999,0.73,68.470001,44.310001,91.629997,33.23,148.429993,70.540001
6/10/19,0.042172665,-0.00868249,0,0.072956455,0,-0.023447529,2.6615,1329.3,1386.8,805.2,43.139999,39.619999,54.200001,19.879999,0.73,68.470001,44.310001,91.629997,33.23,148.429993,70.540001
6/11/19,0.0649758,0.090506598,0.127554113,0.192659392,0.095865791,0.095196481,2.6715,1331.2,1389.2,814.3,43.75,39.959999,54.34,19.860001,0.75,69.669998,44.57,93.209999,32.41,150.75,71.239998
6/12/19,0.115137974,0.075612351,0,0.143421053,0,0.033407707,2.654,1336.8,1405.6,810.5,41.5,39.459999,53.029999,19.92,0.76,68.440002,44.34,92.879997,32.18,146.199997,69.589996
6/13/19,0.042718596,0.052578439,0,0,0.298484848,-0.05,2.6565,1343.7,1438.2,809.4,41.650002,39.450001,53.830002,19.99,0.75,69.160004,44.419998,94.769997,31.389999,148.259995,69.93
6/14/19,0.074978643,0.059917249,-0.1,0.133190924,-0.1,0.019689324,2.631,1344.5,1461.5,804.7,41.23,37.84,51.32,19.91,0.71,67.099998,43.34,92.480003,30.360001,144.639999,68.720001
6/15/19,,,,,,,,,,,40.5,37.66,50.630001,19.9,0.71,66.989998,42.779999,92,29.200001,145.029999,69.110001
6/16/19,,,,,,,,,,,40.5,37.66,50.630001,19.9,0.71,66.989998,42.779999,92,29.200001,145.029999,69.110001
6/17/19,0.075,0,0,0,0,0.007288201,2.6465,1342.9,1455.5,794.6,40.5,37.66,50.630001,19.9,0.71,66.989998,42.779999,92,29.200001,145.029999,69.110001
6/18/19,0.086272093,0,0.080239644,0.114324808,0,0.135797261,2.7025,1350.7,1473.3,802,42.310001,39.209999,51.509998,20.52,0.71,68.610001,43.43,94.519997,30.450001,152.880005,71.959999
6/19/19,0.140435542,0.106586224,0,0.060714286,0,0.069503555,2.6805,1348.8,1492.6,805.8,42.529999,39.400002,53.419998,20.629999,0.71,69.260002,43.75,94.410004,30.5,153.119995,71.800003
6/20/19,0.106255288,0.027102706,0.096608991,0.125001481,0,-0.00999587,2.712,1396.9,1480.6,805.6,43.209999,40.509998,54.41,20.860001,0.76,69.919998,43.779999,95.32,30.01,154.100006,72.739998
6/21/19,0.095420912,0.006251323,0.190496829,0.096240055,0,0.082879953,2.704,1400.1,1499.6,811,42.959999,40.52,53.990002,20.700001,0.76,69.75,43,93.959999,29.1,151.759995,72.720001
6/22/19,,,,,,,,,,,42.959999,40.52,53.990002,20.700001,0.76,69.75,43,93.959999,29.1,151.759995,72.720001
6/23/19,,,,,,,,,,,42.330002,39.98,53.299999,20.66,0.75,69.480003,42.900002,92.419998,29.26,152.660004,73.160004
6/24/19,0.079584214,-0.008818164,0.163752643,0.168689417,0.066710526,0.102329445,2.705,1418.2,1528.6,816.3,42.330002,39.98,53.299999,20.66,0.75,69.480003,42.900002,92.419998,29.26,152.660004,73.160004
6/25/19,0.058504767,0.059227671,0.075,0,0.082734243,-0.021212121,2.735,1418.7,1532.5,814.5,41.98,38.919998,52.310001,20.6,0.76,69.870003,43.119999,92.019997,28.860001,151.479996,72.550003
6/26/19,0.115478502,0.005770895,0.116451306,0.120238095,0,0.067604947,2.711,1411.6,1518,817.1,43.580002,39.080002,53.23,20.790001,0.76,70.089996,43.68,99.379997,29.92,159.259995,74.949997
6/27/19,0.21080801,0.03015392,0,0,0.085279452,0.040519481,2.7165,1412,1538.9,817.5,44.689999,39.59,52.209999,20.74,0.77,70.790001,44.790001,98.050003,30.74,163.229996,75.43
6/28/19,0.166519234,0.067167709,0,0,0.022824991,-0.009477814,2.7055,1409.7,1532.4,835.5,44.91,39.169998,50.799999,20.790001,0.77,71.269997,45.27,98.400002,30.370001,164.229996,76.07
7/1/19,0.150146655,0,0,0.11879844,0.100990358,0.042675449,2.6795,1385.6,1539.1,831.1,45.68,41.380001,51.560001,20.99,0.8,72.019997,45.59,100.800003,31.200001,166.169998,77.519997
7/2/19,0.020107343,0,0.4875,0.093597562,0,-0.015333333,2.664,1408,1552.8,833.5,44.66,40.799999,52.18,21.059999,0.79,69.980003,44.470001,99.629997,31.24,162.229996,77.010002
7/3/19,0.075374168,0.043914883,0,0.01714745,0.06264366,0.116666667,2.683,1420.9,1565.8,843.6,44.669998,40.330002,52.919998,21.16,0.79,71.129997,45.110001,100.089996,31.190001,162.75,76.629997
7/4/19,,,,,,,,,,,44.669998,40.330002,52.919998,21.16,0.79,71.129997,45.110001,100.089996,31.190001,162.75,76.629997
7/5/19,0.074356685,0.06760439,0.123381366,-0.00952381,0.019759236,0.052181638,2.661,1400.1,1564.2,811.4,43.98,39.93,52.369999,21.16,0.8,71.230003,44.759998,102.019997,31.5,160.229996,76.660004
7/6/19,,,,,,,,,,,43.450001,39.32,51.290001,20.74,0.77,68.449997,43.91,98.5,32.040001,157.210007,76.629997
7/7/19,,,,,,,,,,,43.450001,39.32,51.290001,20.74,0.77,68.449997,43.91,98.5,32.040001,157.210007,76.629997
7/8/19,0.088627646,0.06504329,0.109191919,0,0,0.035718784,2.659,1400,1558.2,820.4,43.450001,39.32,51.290001,20.74,0.77,68.449997,43.91,98.5,32.040001,157.210007,76.629997
7/9/19,0.083076387,0.137777778,0,0.122861014,0.125301633,0.011451693,2.625,1400.5,1539.9,815.1,43.970001,39.669998,51.099998,20.629999,0.77,68.949997,43.889999,96.730003,33.150002,157.309998,76.550003
7/10/19,0.077173485,0.066890783,0.154709957,0,-0.050820225,0.13753786,2.694,1412.5,1588.1,830,44.720001,40.709999,52.290001,20.59,0.78,68.910004,43.580002,96.089996,33.790001,160.059998,74.360001
7/11/19,0.092728395,0.005996473,0,0.174400569,0.092609282,0.065617993,2.6875,1406.7,1559.1,830.9,45.279999,40.900002,53.48,20.85,0.78,67.300003,42.68,93.82,33.060001,166.279999,73.709999
7/12/19,0.078131668,0.046062944,0,0,0.011280227,0.087777116,2.694,1412.2,1542.4,834.6,46.509998,41.23,53.779999,21.23,0.78,68.949997,43.490002,96.059998,33.209999,167.610001,74.900002
7/13/19,,,,,,,,,,,46.509998,41.23,53.779999,21.23,0.78,68.949997,43.490002,96.059998,33.209999,167.610001,74.900002
7/14/19,,,,,,,,,,,46.279999,41.82,55.220001,21.35,0.8,68.900002,43.57,96,34.389999,167.270004,75.43
7/15/19,0,0,0,0,0,0,2.711,1413.5,1562.9,845.2,46.279999,41.82,55.220001,21.35,0.8,68.900002,43.57,96,34.389999,167.270004,75.43
7/16/19,0.020935847,0,0,0.085463659,0.120071068,0,2.7,1411.2,1516.3,846.9,46.009998,41.77,56.009998,21.309999,0.82,67.650002,43.290001,95.43,33.849998,167.080002,75.669998
7/17/19,0.078551463,0,0.075989493,0.138116207,0.048898792,0,2.71,1421.3,1539.7,841.7,46.220001,41.630001,56.5,21.18,0.82,66.860001,43.080002,95.269997,33.599998,169.710007,75.760002
7/18/19,0.064404128,0.019572395,-0.024722222,0.087706444,-0.009013647,0,2.71,1428.1,1511.9,849.9,48.169998,43.189999,57.389999,21.379999,0.82,67.25,43.189999,95.540001,33,170.179993,74.370003
7/19/19,0.088517354,0.058834138,0.013856937,0.125407938,0.008833795,0,2.7525,1426.7,1508.3,852.1,47.810001,43.830002,56.799999,21.389999,0.81,67.669998,43.509998,95.379997,32.509998,168.440002,75
7/20/19,,,,,,,,,,,47.810001,43.830002,56.799999,21.389999,0.81,67.669998,43.509998,95.379997,32.509998,168.440002,75
7/21/19,,,,,,,,,,,50.73,44.599998,56.419998,21.440001,0.81,68.830002,44.060001,96.300003,32.849998,171.320007,75.949997
7/22/19,0.042809719,0.009444444,0.00811142,0,0,0,2.722,1426.9,1529.2,852.7,50.73,44.599998,56.419998,21.440001,0.81,68.830002,44.060001,96.300003,32.849998,171.320007,75.949997
