Date,,Volume,Open,High,Low
9/23/16,,108833,1340.3,1344.5,1337.4
9/26/16,,120362,1340.8,1346.1,1336.5
9/27/16,,175693,1342,1343.5,1327.7
9/28/16,,143807,1330.1,1331.1,1321.1
9/29/16,,145079,1325,1329.4,1318.6
9/30/16,,198471,1323.6,1331.5,1316
10/3/16,,120503,1321,1322.6,1311.8
10/4/16,,327773,1315,1315.4,1269
10/5/16,,200416,1270.5,1279.4,1264.1
10/6/16,,176574,1269.7,1271.6,1251.8
10/7/16,,261530,1256.8,1267.6,1243.2
10/10/16,,128220,1258.5,1266.8,1258.5
10/11/16,,127971,1261.7,1264,1254.3
10/12/16,,122342,1254.5,1260.5,1251.2
10/13/16,,142928,1257.1,1263.9,1254.7
10/14/16,,161952,1259.5,1260.7,1246.9
10/17/16,,102991,1252.9,1258.2,1251.1
10/18/16,,141366,1256,1265.6,1255.9
10/19/16,,135414,1263.9,1274.4,1261.1
10/20/16,,130976,1270.6,1275.9,1265.5
10/21/16,,97891,1266.5,1268.8,1261.7
10/24/16,,148823,1266.9,1272.8,1260.1
10/25/16,,132241,1265.2,1277.5,1262.4
10/26/16,,132796,1274,1277.2,1265.1
10/27/16,,123344,1267.2,1273.7,1265.2
10/28/16,,222489,1269.2,1285.4,1262
10/31/16,,115445,1278.3,1280.5,1271.9
11/1/16,,194976,1277.8,1292.9,1276.3
11/2/16,,224005,1289,1309.3,1288.4
11/3/16,,220164,1298.1,1308,1286.2
11/4/16,,202966,1303.2,1308.3,1295.7
11/7/16,,209668,1294.5,1296.5,1278.6
11/8/16,,194922,1282.2,1291.5,1273.3
11/9/16,,783657,1276.8,1338.3,1268.1
11/10/16,,392797,1278.4,1292.5,1251.9
11/11/16,,420069,1258.7,1265,1218.7
11/14/16,,332635,1227.7,1230.9,1211
11/15/16,,224970,1221.8,1231.4,1218.6
11/16/16,,190158,1228,1233.1,1221
11/17/16,,224953,1224.8,1231.1,1210.5
11/18/16,,244002,1216,1217.5,1201.3
11/21/16,,162047,1207.3,1217.8,1205.4
11/22/16,,201770,1213.5,1220.9,1205.6
11/23/16,,3479,1188.2,1192.5,1185.2
11/25/16,,89941,1184.4,1195.4,1172.8
11/28/16,,132780,1184.4,1200,1184.4
11/29/16,,195887,1196.6,1197.7,1182.6
11/30/16,,232748,1190.7,1196.8,1171.3
12/1/16,,216169,1175.1,1178.4,1162.2
12/2/16,,169224,1174.3,1180.3,1168.4
12/5/16,,212276,1182.6,1190.2,1158.6
12/6/16,,130714,1172.8,1177.1,1168.1
12/7/16,,137900,1171.4,1182.3,1167.2
12/8/16,,142363,1176.1,1180.7,1170.9
12/9/16,,154417,1172.5,1173.8,1157.6
12/12/16,,159639,1161.4,1167.9,1152.5
12/13/16,,136029,1164.5,1167,1156.3
12/14/16,,205326,1159.8,1168,1140
12/15/16,,262877,1143.8,1146,1124.3
12/16/16,,171285,1130.5,1143.2,1128.5
12/19/16,,112536,1136.1,1144.4,1135.5
12/20/16,,138058,1139.8,1141.7,1127.3
12/21/16,,109673,1134,1138.8,1131
12/22/16,,70834,1130,1137.3,1129.5
12/23/16,,70834,1130,1137.3,1129.5
12/27/16,,102366,1135.3,1151.7,1132.8
12/28/16,,100121,1139.3,1145.1,1137.1
12/29/16,,152323,1143.1,1160.6,1142.6
12/30/16,,138673,1159.5,1164.3,1150.3
1/3/17,,216537,1151.4,1166,1146.5
1/4/17,,172108,1159.6,1168.6,1156.7
1/5/17,,262224,1164.6,1185.9,1163.6
1/6/17,,217714,1181,1183.8,1171.1
1/9/17,,174989,1172.9,1186.4,1172.2
1/10/17,,215898,1181.3,1190.6,1180.2
