Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-19,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-02,79700.000000,81200.000000,79100.000000,80700.000000,80700.000000,3092434
2019-05-03,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,74800.000000,75100.000000,73900.000000,74500.000000,74500.000000,2056131
2019-05-16,null,null,null,null,null,null
2019-05-17,72500.000000,73300.000000,71400.000000,71600.000000,71600.000000,2412668
2019-05-20,71800.000000,72800.000000,70700.000000,70900.000000,70900.000000,1970694
2019-05-21,70500.000000,72200.000000,69700.000000,70300.000000,70300.000000,3893536
2019-05-22,71300.000000,71300.000000,68500.000000,68900.000000,68900.000000,3128787
2019-05-23,68400.000000,69100.000000,67300.000000,68000.000000,68000.000000,3108370
2019-05-24,67300.000000,68600.000000,67000.000000,67600.000000,67600.000000,3339145
2019-05-27,67900.000000,68200.000000,66400.000000,66900.000000,66900.000000,2214176
2019-05-28,67200.000000,68300.000000,65900.000000,65900.000000,65900.000000,12052399
2019-05-29,65600.000000,66700.000000,64900.000000,66100.000000,66100.000000,6056903
2019-05-30,66300.000000,66900.000000,65800.000000,65900.000000,65900.000000,3023108
2019-05-31,65900.000000,66900.000000,64700.000000,65300.000000,65300.000000,3191350
2019-06-03,65200.000000,67200.000000,64200.000000,66600.000000,66600.000000,4020572
2019-06-04,66500.000000,66700.000000,65100.000000,65100.000000,65100.000000,2892681
2019-06-05,66900.000000,67600.000000,64900.000000,65100.000000,65100.000000,4832796
2019-06-07,65200.000000,66000.000000,64600.000000,65400.000000,65400.000000,2355869
2019-06-10,66100.000000,67000.000000,65800.000000,66800.000000,66800.000000,3091757
2019-06-11,66900.000000,67800.000000,66700.000000,67200.000000,67200.000000,2429182
2019-06-12,66800.000000,67100.000000,65700.000000,65700.000000,65700.000000,2437640
2019-06-13,64900.000000,65100.000000,63300.000000,63500.000000,63500.000000,5947811
2019-06-14,63200.000000,64000.000000,62600.000000,63100.000000,63100.000000,3686472
2019-06-17,62800.000000,63800.000000,62400.000000,63700.000000,63700.000000,2435039
2019-06-18,63800.000000,64200.000000,63300.000000,63400.000000,63400.000000,1549497
2019-06-19,65800.000000,67300.000000,65200.000000,67200.000000,67200.000000,6230370
2019-06-20,67200.000000,67400.000000,66200.000000,67300.000000,67300.000000,2773637
2019-06-21,67100.000000,67300.000000,65900.000000,65900.000000,65900.000000,2403002
2019-06-24,65900.000000,67400.000000,65600.000000,66900.000000,66900.000000,2164462
2019-06-25,66700.000000,67400.000000,66300.000000,66700.000000,66700.000000,1873766
2019-06-26,68300.000000,69600.000000,67900.000000,68900.000000,68900.000000,5024201
2019-06-27,70100.000000,71600.000000,69700.000000,70200.000000,70200.000000,5361201
2019-06-28,70900.000000,70900.000000,68400.000000,69500.000000,69500.000000,3117569
2019-07-01,71000.000000,71000.000000,69700.000000,70000.000000,70000.000000,3538183
2019-07-02,69700.000000,71700.000000,69100.000000,71400.000000,71400.000000,2495399
2019-07-03,71100.000000,71700.000000,69000.000000,69100.000000,69100.000000,2790684
2019-07-04,69600.000000,70700.000000,69300.000000,70200.000000,70200.000000,1503707
2019-07-05,70300.000000,71000.000000,68400.000000,68400.000000,68400.000000,2043271
2019-07-08,66400.000000,68000.000000,66200.000000,67400.000000,67400.000000,2202260
2019-07-09,68400.000000,70500.000000,67900.000000,69800.000000,69800.000000,2912514
2019-07-10,71500.000000,73400.000000,71000.000000,72900.000000,72900.000000,4346179
2019-07-11,74000.000000,75500.000000,74000.000000,75500.000000,75500.000000,5111929
2019-07-12,75600.000000,75800.000000,74400.000000,74700.000000,74700.000000,2638271
2019-07-15,74500.000000,76500.000000,74400.000000,76200.000000,76200.000000,2122090
2019-07-16,74800.000000,76500.000000,74800.000000,76100.000000,76100.000000,2450278
2019-07-17,74600.000000,75200.000000,74000.000000,74600.000000,74600.000000,2805672
2019-07-18,74300.000000,75200.000000,73900.000000,74700.000000,74700.000000,1902110
2019-07-19,75900.000000,77000.000000,75600.000000,76800.000000,76800.000000,2635348
2019-07-22,77800.000000,79200.000000,77000.000000,78400.000000,78400.000000,3213786
2019-07-23,79700.000000,80700.000000,78200.000000,78800.000000,78800.000000,4814941
2019-07-24,78800.000000,80200.000000,77100.000000,77600.000000,77600.000000,3562342
2019-07-25,79700.000000,80400.000000,77700.000000,79200.000000,79200.000000,3963383
2019-07-26,78100.000000,80300.000000,78000.000000,79800.000000,79800.000000,3095260
2019-07-29,79000.000000,79400.000000,76500.000000,77000.000000,77000.000000,2616782
2019-07-30,78200.000000,80000.000000,77700.000000,78900.000000,78900.000000,2371300
2019-07-31,78000.000000,79100.000000,75300.000000,76900.000000,76900.000000,3712241
2019-08-01,75300.000000,78700.000000,75300.000000,77700.000000,77700.000000,3397831
2019-08-02,null,null,null,null,null,null
2019-08-05,75500.000000,76000.000000,74900.000000,75400.000000,75400.000000,2889902
2019-08-06,73100.000000,73900.000000,71900.000000,72000.000000,72000.000000,5008247
2019-08-07,72000.000000,74300.000000,72000.000000,73300.000000,73300.000000,2692841
2019-08-08,73600.000000,74500.000000,72000.000000,72300.000000,72300.000000,2943206
2019-08-09,73200.000000,74100.000000,72300.000000,73300.000000,73300.000000,2100380
2019-08-12,73700.000000,75000.000000,73500.000000,74500.000000,74500.000000,1254926
2019-08-13,74000.000000,75100.000000,73700.000000,74500.000000,74500.000000,1304708
2019-08-14,77200.000000,77900.000000,76200.000000,76900.000000,76900.000000,2561643
2019-08-16,75800.000000,76400.000000,75100.000000,76400.000000,76400.000000,2015785
2019-08-19,77300.000000,77500.000000,74800.000000,75100.000000,75100.000000,1591728
2019-08-20,75500.000000,76600.000000,75100.000000,76400.000000,76400.000000,1694275
2019-08-21,75900.000000,76900.000000,75500.000000,75800.000000,75800.000000,1898789
2019-08-22,75300.000000,76000.000000,73800.000000,73800.000000,73800.000000,2309550
2019-08-23,73500.000000,75200.000000,73400.000000,74400.000000,74400.000000,1695532
2019-08-26,72600.000000,73000.000000,71500.000000,71800.000000,71800.000000,2645491
2019-08-27,72500.000000,73700.000000,72500.000000,73000.000000,73000.000000,2512610
2019-08-28,73500.000000,73700.000000,72500.000000,73300.000000,73300.000000,1380522
2019-08-29,73500.000000,74100.000000,72000.000000,73300.000000,73300.000000,2050860
2019-08-30,74600.000000,78000.000000,74600.000000,77400.000000,77400.000000,3839246
2019-09-02,77000.000000,78200.000000,76500.000000,77600.000000,77600.000000,1431352
2019-09-03,null,null,null,null,null,null
2019-09-04,77400.000000,80000.000000,77300.000000,80000.000000,80000.000000,2723541
2019-09-05,81400.000000,83000.000000,81200.000000,83000.000000,83000.000000,4068631
2019-09-06,84000.000000,84000.000000,81500.000000,81900.000000,81900.000000,2418057
2019-09-09,83100.000000,84600.000000,82500.000000,84300.000000,84300.000000,2642174
2019-09-10,null,null,null,null,null,null
2019-09-11,83400.000000,84300.000000,81300.000000,82600.000000,82600.000000,3650902
2019-09-16,81000.000000,81000.000000,79000.000000,79500.000000,79500.000000,5174391
2019-09-17,80000.000000,80400.000000,79100.000000,79400.000000,79400.000000,2538780
2019-09-18,80100.000000,80600.000000,79500.000000,80200.000000,80200.000000,2706678
2019-09-19,80600.000000,82700.000000,80300.000000,82700.000000,82700.000000,3612220
2019-09-20,82800.000000,83400.000000,82100.000000,82200.000000,82200.000000,2447172
2019-09-23,81900.000000,83300.000000,81900.000000,82800.000000,82800.000000,1413663
2019-09-24,82500.000000,83500.000000,81400.000000,83400.000000,83400.000000,1662830
2019-09-25,82200.000000,82800.000000,81500.000000,81900.000000,81900.000000,1644881
2019-09-26,83000.000000,83500.000000,82500.000000,83300.000000,83300.000000,1734941
2019-09-27,80200.000000,81500.000000,80100.000000,81400.000000,81400.000000,2625620
2019-09-30,80600.000000,82900.000000,80400.000000,82200.000000,82200.000000,2442478
2019-10-01,81800.000000,82500.000000,81700.000000,82000.000000,82000.000000,2370210
2019-10-02,81600.000000,81600.000000,79500.000000,79500.000000,79500.000000,2188097
2019-10-04,null,null,null,null,null,null
2019-10-07,80700.000000,81700.000000,79800.000000,80300.000000,80300.000000,1229105
2019-10-08,80400.000000,81100.000000,79400.000000,80900.000000,80900.000000,1816880
2019-10-10,78900.000000,79600.000000,78100.000000,79000.000000,79000.000000,4389324
2019-10-11,79800.000000,80500.000000,79400.000000,80000.000000,80000.000000,2186536
2019-10-14,82000.000000,82300.000000,80400.000000,80500.000000,80500.000000,1972409
2019-10-15,80700.000000,81700.000000,80500.000000,81200.000000,81200.000000,1518810
2019-10-16,82400.000000,82700.000000,81900.000000,82400.000000,82400.000000,2436269
2019-10-17,82000.000000,82200.000000,80600.000000,81000.000000,81000.000000,1713942
2019-10-18,81500.000000,81700.000000,77300.000000,77400.000000,77400.000000,13625664
2019-10-21,77800.000000,78400.000000,77100.000000,77500.000000,77500.000000,2096581
2019-10-22,78900.000000,79300.000000,78200.000000,79100.000000,79100.000000,3453958
2019-10-23,78500.000000,78600.000000,77700.000000,77700.000000,77700.000000,5373911
2019-10-24,79900.000000,80100.000000,78700.000000,80000.000000,80000.000000,3076100
2019-10-25,82400.000000,82900.000000,81500.000000,82900.000000,82900.000000,4229200
2019-10-28,83400.000000,84000.000000,82600.000000,82900.000000,82900.000000,1977758
2019-10-29,84000.000000,84000.000000,82900.000000,83000.000000,83000.000000,1645070
2019-10-30,83400.000000,83400.000000,81000.000000,81500.000000,81500.000000,1927042
2019-10-31,81900.000000,83400.000000,81600.000000,82000.000000,82000.000000,1978755
2019-11-01,82300.000000,83200.000000,81600.000000,83100.000000,83100.000000,1848046
2019-11-04,84000.000000,84900.000000,83800.000000,84700.000000,84700.000000,2182879
2019-11-05,85100.000000,85400.000000,84600.000000,85100.000000,85100.000000,1953720
2019-11-06,84800.000000,85200.000000,83500.000000,83500.000000,83500.000000,2127745
2019-11-07,83700.000000,84300.000000,82800.000000,83600.000000,83600.000000,1594558
2019-11-08,84600.000000,84600.000000,82000.000000,82300.000000,82300.000000,2074339
2019-11-11,null,null,null,null,null,null
2019-11-12,81900.000000,83200.000000,81300.000000,83200.000000,83200.000000,1555211
2019-11-13,83300.000000,83600.000000,82300.000000,83400.000000,83400.000000,1370289
2019-11-14,null,null,null,null,null,null
2019-11-15,null,null,null,null,null,null
2019-11-18,86000.000000,86500.000000,84700.000000,85500.000000,85500.000000,1827506
2019-11-19,85400.000000,86000.000000,84600.000000,85300.000000,85300.000000,2260299
2019-11-20,84400.000000,85200.000000,82600.000000,82700.000000,82700.000000,3315169
2019-11-21,81700.000000,82500.000000,80500.000000,80900.000000,80900.000000,3346746
2019-11-22,80900.000000,82100.000000,80700.000000,81700.000000,81700.000000,2089767
2019-11-25,82300.000000,83300.000000,81500.000000,81700.000000,81700.000000,2602474
2019-11-26,82000.000000,84100.000000,82000.000000,82300.000000,82300.000000,4521090
2019-11-27,82400.000000,83200.000000,82000.000000,82700.000000,82700.000000,1326621
2019-11-28,83100.000000,83800.000000,82500.000000,82800.000000,82800.000000,1413983
2019-11-29,82500.000000,82800.000000,80700.000000,80900.000000,80900.000000,2139440
2019-12-02,80900.000000,81800.000000,80500.000000,80500.000000,80500.000000,1945991
2019-12-03,78100.000000,79300.000000,77300.000000,78700.000000,78700.000000,11657151
2019-12-04,78000.000000,78100.000000,76800.000000,77700.000000,77700.000000,6164549
2019-12-05,79800.000000,79900.000000,78000.000000,78800.000000,78800.000000,3667358
